model,mechanism,wire,doc,ceiling,n_ok_attempts,mean_merged_associations,mean_merged_aliases,mean_parsed_questions,mean_dropped,mean_duplicates,pct_trials_hit_length
qwen2.5:7b,A0,native,aliases,2048,1,4.0,1.0,0.0,0.0,0.0,0.0
qwen2.5:7b,A0,native,negation,2048,1,5.0,0.0,0.0,4.0,0.0,0.0
qwen2.5:7b,A0,native,short,2048,1,3.0,0.0,0.0,1.0,0.0,0.0
qwen2.5:7b,A0,native,table_noisy,2048,1,6.0,0.0,0.0,1.0,0.0,0.0
qwen2.5:7b,A0,v1,aliases,2048,1,4.0,1.0,0.0,0.0,0.0,0.0
qwen2.5:7b,A0,v1,negation,2048,1,5.0,0.0,0.0,4.0,0.0,0.0
qwen2.5:7b,A0,v1,short,2048,1,3.0,0.0,0.0,1.0,0.0,0.0
qwen2.5:7b,A0,v1,table_noisy,2048,1,6.0,0.0,0.0,1.0,0.0,0.0
qwen2.5:7b,A1,native,aliases,2048,1,4.0,1.0,0.0,0.0,0.0,0.0
qwen2.5:7b,A1,native,negation,2048,1,5.0,0.0,0.0,4.0,0.0,0.0
qwen2.5:7b,A1,native,short,2048,1,4.0,0.0,0.0,1.0,0.0,0.0
qwen2.5:7b,A1,native,table_noisy,2048,1,6.0,0.0,0.0,1.0,0.0,0.0
qwen2.5:7b,A1,v1,aliases,2048,1,4.0,1.0,0.0,0.0,0.0,0.0
qwen2.5:7b,A1,v1,negation,2048,1,5.0,0.0,0.0,4.0,0.0,0.0
qwen2.5:7b,A1,v1,short,2048,1,4.0,0.0,0.0,1.0,0.0,0.0
qwen2.5:7b,A1,v1,table_noisy,2048,1,6.0,0.0,0.0,1.0,0.0,0.0
qwen2.5:7b,B,native,aliases,2048,1,4.0,1.0,0.0,0.0,0.0,0.0
qwen2.5:7b,B,native,negation,2048,1,5.0,0.0,0.0,4.0,0.0,0.0
qwen2.5:7b,B,native,short,2048,1,4.0,0.0,0.0,1.0,0.0,0.0
qwen2.5:7b,B,native,table_noisy,2048,1,6.0,0.0,0.0,1.0,0.0,0.0
qwen2.5:7b,B,v1,aliases,2048,1,4.0,1.0,0.0,0.0,0.0,0.0
qwen2.5:7b,B,v1,negation,2048,1,5.0,0.0,0.0,4.0,0.0,0.0
qwen2.5:7b,B,v1,short,2048,1,4.0,0.0,0.0,1.0,0.0,0.0
qwen2.5:7b,B,v1,table_noisy,2048,1,6.0,0.0,0.0,1.0,0.0,0.0
qwen2.5:7b,C,native,aliases,2048,1,4.0,0.0,0.0,5.0,0.0,0.0
qwen2.5:7b,C,native,negation,2048,1,5.0,0.0,0.0,3.0,0.0,0.0
qwen2.5:7b,C,native,short,2048,1,2.0,1.0,0.0,0.0,0.0,0.0
qwen2.5:7b,C,native,table_noisy,2048,1,5.0,0.0,0.0,1.0,0.0,0.0
qwen2.5:7b,C,v1,aliases,2048,1,4.0,0.0,0.0,5.0,0.0,0.0
qwen2.5:7b,C,v1,negation,2048,1,5.0,0.0,0.0,3.0,0.0,0.0
qwen2.5:7b,C,v1,short,2048,1,2.0,1.0,0.0,0.0,0.0,0.0
qwen2.5:7b,C,v1,table_noisy,2048,1,5.0,0.0,0.0,1.0,0.0,0.0
taguru-extract-12b,A0,native,aliases,2048,3,6.0,2.0,0.0,0.0,0.0,0.0
taguru-extract-12b,A0,native,long_dense,2048,2,21.0,1.0,0.0,1.0,0.0,0.0
taguru-extract-12b,A0,native,long_dense,unbounded,2,21.0,1.0,0.0,1.0,0.0,0.0
taguru-extract-12b,A0,native,long_dense#p0,2048,3,7.0,1.0,0.0,0.0,0.0,0.0
taguru-extract-12b,A0,native,long_dense#p1,2048,3,8.0,0.0,0.0,0.0,0.0,0.0
taguru-extract-12b,A0,native,long_dense#p2,2048,3,8.0,0.0,0.0,1.0,0.0,0.0
taguru-extract-12b,A0,native,long_dense#p3,2048,3,7.0,0.0,0.0,0.0,0.0,0.0
taguru-extract-12b,A0,native,long_dense#p4,2048,3,6.0,0.0,0.0,0.0,0.0,0.0
taguru-extract-12b,A0,native,negation,2048,3,7.0,0.0,0.0,0.0,0.0,0.0
taguru-extract-12b,A0,native,output_limit,512-esc,3,9.67,0.0,0.0,1.0,0.0,100.0
taguru-extract-12b,A0,native,short,2048,3,4.0,0.0,0.0,1.0,0.0,0.0
taguru-extract-12b,A0,native,table_noisy,2048,3,7.0,0.0,0.0,0.0,1.0,0.0
taguru-extract-12b,A1,native,aliases,2048,3,6.0,1.0,0.0,0.0,0.0,0.0
taguru-extract-12b,A1,native,long_dense,2048,2,21.0,0.0,0.0,1.0,0.0,0.0
taguru-extract-12b,A1,native,long_dense,unbounded,2,21.0,0.0,0.0,1.0,0.0,0.0
taguru-extract-12b,A1,native,negation,2048,3,8.0,0.0,0.0,0.0,0.0,0.0
taguru-extract-12b,A1,native,output_limit,2048,2,26.0,0.0,0.0,2.0,0.0,0.0
taguru-extract-12b,A1,native,output_limit,512,2,8.0,1.0,0.0,0.0,0.0,100.0
taguru-extract-12b,A1,native,output_limit,unbounded,2,26.0,0.0,0.0,2.0,0.0,0.0
taguru-extract-12b,A1,native,short,2048,3,4.0,0.0,0.0,0.0,0.0,0.0
taguru-extract-12b,A1,native,table_noisy,2048,3,8.0,0.0,0.0,5.0,0.0,0.0
taguru-extract-12b,B,native,aliases,2048,3,6.0,1.0,0.0,0.0,0.0,0.0
taguru-extract-12b,B,native,long_dense,2048,2,21.0,0.0,0.0,1.0,0.0,0.0
taguru-extract-12b,B,native,long_dense,unbounded,2,21.0,0.0,0.0,1.0,0.0,0.0
taguru-extract-12b,B,native,negation,2048,3,8.0,0.0,0.0,0.0,0.0,0.0
taguru-extract-12b,B,native,output_limit,2048,2,26.0,0.0,0.0,2.0,0.0,0.0
taguru-extract-12b,B,native,output_limit,512,2,8.0,1.0,0.0,0.0,0.0,100.0
taguru-extract-12b,B,native,output_limit,unbounded,2,26.0,0.0,0.0,2.0,0.0,0.0
taguru-extract-12b,B,native,short,2048,3,4.0,0.0,0.0,0.0,0.0,0.0
taguru-extract-12b,B,native,table_noisy,2048,3,11.0,0.0,0.0,1.0,0.0,0.0
taguru-extract-12b,C,native,aliases,2048,3,6.0,2.0,0.0,0.0,0.0,0.0
taguru-extract-12b,C,native,long_dense,2048,2,22.0,1.0,0.0,1.0,0.0,0.0
taguru-extract-12b,C,native,long_dense,512,2,8.0,1.0,0.0,0.0,0.0,100.0
taguru-extract-12b,C,native,long_dense,unbounded,2,22.0,1.0,0.0,1.0,0.0,0.0
taguru-extract-12b,C,native,negation,2048,3,9.0,0.0,0.0,1.0,0.0,0.0
taguru-extract-12b,C,native,output_limit,2048,2,31.0,1.0,0.0,1.0,0.0,0.0
taguru-extract-12b,C,native,output_limit,unbounded,2,31.0,1.0,0.0,1.0,0.0,0.0
taguru-extract-12b,C,native,short,2048,3,4.0,0.0,0.0,1.0,0.0,0.0
taguru-extract-12b,C,native,table_noisy,2048,3,7.0,0.0,0.0,0.0,0.0,0.0
